gene_id	r	p
ABI3BP|25890	2.22845	0.319334
ABI3|51225	3.15389e+06	1
ABL1|25	4.119	0.000568136
ABL2|27	16.9296	0.00599185
ABLIM1|3983	37.8961	0.00907261
ABLIM2|84448	3.92783	0.0120914
ABLIM3|22885	1.24156	0.00668434
ABO|28	0	NaN
ABP1|26	0.598696	0.254906
ABRA|137735	0.428142	0.363404
ABR|29	23.7731	0.0141301
ABT1|29777	21.8526	0.0236261
ABTB1|80325	4.40601	0.0181139
ABTB2|25841	1.27748	0.00105567
ACAA1|30	19.0728	0.0206046
ACAA2|10449	36.5508	0.0177549
ACACA|31	16.051	0.00262627
ACACB|32	14.3265	0.0259738
ACAD10|80724	4.76823	0.00908058
ACAD11|84129	6.5044	0.00635141
ACAD8|27034	16.0835	0.018327
ACAD9|28976	37.6321	0.0177541
ACADL|33	2.03197	0.0660117
ACADM|34	3.90159	0.00170849
ACADSB|36	14.51	0.0314971
ACADS|35	5.23107	0.0173753
ACADVL|37	5.05535	0.000542951
ACAN|176	0.0833333	NaN
ACAP1|9744	1.56821	0.0592115
ACAP2|23527	14.4707	0.0101397
ACAP3|116983	26.9217	0.00997961
ACAT1|38	20.3267	0.00793316
ACAT2|39	9.44139	0.00465623
ACBD3|64746	9.00741	0.00340974
ACBD4|79777	3.52913	0.00743713
ACBD5|91452	9.94555	0.008143
ACBD6|84320	30.308	0.0135866
ACBD7|414149	5.44692	0.163668
ACCN1|40	0	NaN
ACCN2|41	5.75663	0.00516866
ACCN3|9311	3.16187	0.0993407
ACCN4|55515	2.50445	0.612667
ACCN5|51802	0	NaN
ACCSL|390110	0	NaN
ACCS|84680	5.43217	0.019964
ACD|65057	13.9623	0.0263499
ACE2|59272	0.690257	0.0449476
ACER1|125981	0	NaN
ACER2|340485	9.55815	0.190624
ACER3|55331	10.7523	0.0137585
ACE|1636	1.2466	0.0349547
ACHE|43	1.89115	0.144829
ACIN1|22985	21.82	0.00366626
ACLY|47	10.2911	0.000718713
ACMSD|130013	0.345143	0.579933
ACN9|57001	17.0217	0.0589621
ACO1|48	5.2439	0.00231443
ACO2|50	61.6217	0.0159965
ACOT11|26027	3.05776	0.0268874
ACOT12|134526	0	NaN
ACOT13|55856	42.8801	0.0423732
ACOT1|641371	22.5896	0.339236
ACOT2|10965	35.3769	0.0461111
ACOT4|122970	4.71492	0.0675506
ACOT6|641372	0.25	NaN
ACOT7|11332	10.8714	0.0113782
ACOT8|10005	13.5946	0.0235774
ACOT9|23597	14.4485	0.00867325
ACOX1|51	56.3614	0.0409645
ACOX2|8309	0.166667	NaN
ACOX3|8310	11.3739	0.0275648
ACOXL|55289	0.843014	0.174068
ACP1|52	12.7999	0.0050303
ACP2|53	9.72756	0.0120183
ACP5|54	1.48919	0.180745
ACP6|51205	7.52208	0.0270882
ACPL2|92370	4.87075	0.0156807
ACPP|55	0.448515	0.0422522
ACPT|93650	0.0833333	NaN
ACRBP|84519	2.40336	0.133002
ACRC|93953	14.0378	0.163159
ACRV1|56	47.1141	0.941703
ACR|49	2.90988e+06	1
ACSBG1|23205	79.0188	0.883529
ACSBG2|81616	2.16544	0.387925
ACSF2|80221	2.94186	0.00366082
ACSF3|197322	7.65894	0.0075076
ACSL1|2180	3.15624	0.00446486
ACSL3|2181	12.2751	0.00212797
ACSL4|2182	4.36033	0.00111453
ACSL5|51703	3.4152	0.105629
ACSL6|23305	0	NaN
ACSM1|116285	0	NaN
ACSM2A|123876	0	NaN
ACSM2B|348158	0	NaN
ACSM3|6296	1.21078	0.228704
ACSM4|341392	0	NaN
ACSM5|54988	0.0833333	NaN
ACSS1|84532	0.154915	0.134135
ACSS2|55902	10.5224	0.016488
ACSS3|79611	0	NaN
ACTA1|58	1.85305	0.277138
ACTA2|59	4.78246	0.0585973
ACTBL2|345651	2.32869	0.175812
ACTB|60	3.52809	6.37159e-05
ACTC1|70	1.12987	0.00795892
ACTG1|71	17.9965	0.000130968
ACTG2|72	0.577279	0.331019
ACTL6A|86	14.0678	0.00754211
ACTL6B|51412	0.0833333	NaN
ACTL7A|10881	0.53436	0.561877
ACTL7B|10880	0.25	NaN
ACTL8|81569	1.16907	0.0954156
ACTL9|284382	0.583333	NaN
ACTN1|87	31.5838	0.00576198
ACTN2|88	0.781488	0.118142
ACTN3|89	5.39423	0.630101
ACTN4|81	12.4095	0.000955706
ACTR10|55860	6.6955	0.00681745
ACTR1A|10121	20.5503	0.00656759
ACTR1B|10120	8.30506	0.00616382
ACTR2|10097	13.5492	0.00131809
ACTR3B|57180	7.42556	0.0155344
ACTR3C|653857	2.69447	0.132334
ACTR3|10096	12.8145	0.00261936
ACTR5|79913	8.5392	0.0191159
ACTR6|64431	9.07734	0.0152348
ACTR8|93973	33.1979	0.0365872
ACTRT1|139741	0	NaN
ACTRT2|140625	0	NaN
ACVR1B|91	22.3926	0.0297882
ACVR1C|130399	1.84698	0.0344605
ACVR1|90	29.1658	0.105578
ACVR2A|92	30.4299	0.17313
ACVR2B|93	5.34504	0.00762747
ACVRL1|94	2.46747	0.186682
ACY1|95	6.00664	0.0091216
ACY3|91703	1.56172	0.539444
ACYP1|97	6.12629	0.0243146
ACYP2|98	2.70857	0.0212784
ADAD1|132612	0	NaN
ADAD2|161931	0	NaN
ADAL|161823	18.0146	0.030259
ADAM10|102	11.6482	0.00523282
ADAM11|4185	7.23687	0.0483575
ADAM12|8038	7.18567	0.0039447
ADAM15|8751	3.93714	0.000735796
ADAM17|6868	15.0734	0.018018
ADAM18|8749	0	NaN
ADAM19|8728	2.91555	0.0160416
ADAM20|8748	1.25	NaN
ADAM21P1|145241	0.925167	0.649164
ADAM21|8747	3.6248	0.238346
ADAM22|53616	11.9802	0.0384931
ADAM23|8745	22.333	0.382307
ADAM28|10863	1.20265	0.0832132
ADAM29|11086	0	NaN
ADAM2|2515	0	NaN
ADAM30|11085	0	NaN
ADAM32|203102	33.5663	0.88372
ADAM33|80332	0.345143	0.579933
ADAM3A|1587	0	NaN
ADAM5P|255926	0.0833333	NaN
ADAM6|8755	3.4899	0.807243
ADAM7|8756	0	NaN
ADAM8|101	1.89351	0.0103295
ADAM9|8754	23.5218	0.00487421
ADAMDEC1|27299	0	NaN
ADAMTS10|81794	3.57404	0.0327171
ADAMTS12|81792	0	NaN
ADAMTS13|11093	2.70112	0.0189175
ADAMTS14|140766	1.05353	0.0486914
ADAMTS15|170689	6.85669	0.0861321
ADAMTS16|170690	0.893491	0.0197194
ADAMTS17|170691	0	NaN
ADAMTS18|170692	0	NaN
ADAMTS19|171019	0.0784999	0.32019
ADAMTS1|9510	13.4627	0.00705422
ADAMTS20|80070	0.636987	0.389122
ADAMTS2|9509	0.5	NaN
ADAMTS3|9508	5.51584	0.0280801
ADAMTS4|9507	2.96467	0.14428
ADAMTS5|11096	10.6236	0.008344
ADAMTS6|11174	6.37592	0.0143939
ADAMTS7|11173	7.10933	0.081071
ADAMTS8|11095	2.60464	0.187998
ADAMTS9|56999	0.0833333	NaN
ADAMTSL1|92949	0.233351	0.00228439
ADAMTSL2|9719	0.883583	0.306418
ADAMTSL3|57188	0	NaN
ADAMTSL4|54507	2.11378	0.00118733
ADAMTSL5|339366	46.3274	0.133031
ADAP1|11033	4.6158	0.0225308
ADAP2|55803	1.83922	0.393622
ADARB1|104	18.6889	0.00341384
ADARB2|105	7.82414	0.0105164
ADAR|103	16.4073	0.00222648
ADAT1|23536	17.4324	0.0432101
ADAT2|134637	13.0663	0.0214442
ADAT3|113179	14.0013	0.0804284
ADA|100	15.3069	0.0176369
ADCK1|57143	10.9385	0.0445068
ADCK2|90956	15.2474	0.026357
ADCK4|79934	8.61897	0.0141383
ADCK5|203054	11.6182	0.0492921
ADCY10|55811	0.333333	NaN
ADCY1|107	4.72213	0.862942
ADCY2|108	0	NaN
ADCY3|109	17.767	0.0140922
ADCY4|196883	0.0833333	NaN
ADCY5|111	1.34553	0.801452
ADCY6|112	11.92	0.00414585
ADCY7|113	6.14081	0.00201148
ADCY8|114	0	NaN
ADCY9|115	17.5892	0.00631362
ADCYAP1R1|117	0	NaN
ADCYAP1|116	0	NaN
ADC|113451	4.34173	0.0492865
ADD1|118	16.0221	0.00435241
ADD2|119	0.0833333	NaN
ADD3|120	20.4525	0.0123137
ADH1A|124	0	NaN
ADH1B|125	0.0833333	NaN
ADH1C|126	0.0784999	0.32019
ADH4|127	0	NaN
ADH5|128	7.94403	0.00321856
ADH6|130	0	NaN
ADH7|131	0	NaN
ADHFE1|137872	0.468075	0.0114254
ADI1|55256	4.19924	0.00361318
ADIG|149685	0	NaN
ADIPOQ|9370	0.166667	NaN
ADIPOR1|51094	12.1564	0.00372267
ADIPOR2|79602	11.1157	0.00300483
ADK|132	10.2513	0.00683952
ADM2|79924	2.57321	0.0144368
ADM|133	2.25502	0.000825007
ADNP2|22850	20.9221	0.0173795
ADNP|23394	63.7355	0.01565
ADORA1|134	3.71842	0.358054
ADORA2A|135	5.78516	0.175121
ADORA2B|136	39.3568	0.0861154
ADORA3|140	0	NaN
ADO|84890	11.3072	0.0111003
ADPGK|83440	15.2036	0.0107166
ADPRHL1|113622	3.54449	0.0214977
ADPRHL2|54936	6.3146	0.00847998
ADPRH|141	11.2141	0.347213
ADRA1A|148	0	NaN
ADRA1B|147	4.25883	0.0404286
ADRA1D|146	0.744664	0.373328
ADRA2A|150	0	NaN
ADRA2B|151	54.3165	0.960224
ADRA2C|152	0.551219	0.00458835
ADRB1|153	19.8308	0.681921
ADRB2|154	1.41639	0.0293555
ADRB3|155	0.0833333	NaN
ADRBK1|156	37.7355	0.0141846
ADRBK2|157	4.81181	0.0364131
ADRM1|11047	9.06054	0.00217816
ADSL|158	28.7724	0.00901125
ADSSL1|122622	2.01252	0.000768035
ADSS|159	11.6088	0.00712769
AEBP1|165	10.0131	0.73645
AEBP2|121536	17.4669	0.0127631
AEN|64782	12.4534	0.00911698
AES|166	10.9848	0.0013828
AFAP1L1|134265	5.16916	0.00690677
AFAP1L2|84632	1.43451	0.29071
AFAP1|60312	9.34966	0.000772948
AFARP1|246182	3.20716	0.108263
AFF1|4299	11.5043	0.00439653
AFF2|2334	0.333333	NaN
AFF3|3899	0.0833333	NaN
AFF4|27125	16.0955	0.00276389
AFG3L1|172	17.5904	0.0492949
AFG3L2|10939	19.7478	0.00594412
AFMID|125061	16.3748	0.0355941
AFM|173	0	NaN
AFP|174	0.334266	0.105527
AFTPH|54812	22.4102	0.0185619
AG2|387763	1.93471	0.0217543
AGAP11|119385	9.14283	0.497087
AGAP1|116987	13.4491	0.00976616
AGAP2|116986	3.41032	0.310208
AGAP3|116988	30.9342	0.0182492
AGAP4|119016	4.11464	0.0550837
AGAP5|729092	15.3549	0.104499
AGAP6|414189	28.0946	0.0550234
AGAP7|653268	3.84653	0.147868
AGAP8|728404	13.3466	0.0435432
AGA|175	4.66257	0.00844038
AGBL1|123624	0	NaN
AGBL2|79841	0	NaN
AGBL3|340351	0.75	NaN
AGBL4|84871	0.323866	0.393105
AGBL5|60509	24.6553	0.02043
AGER|177	2.72468	0.050637
AGFG1|3267	9.22989	0.0032438
AGFG2|3268	13.1278	0.0403359
AGGF1|55109	16.1038	0.0111283
AGK|55750	21.2207	0.0290873
AGL|178	4.67186	0.00290027
AGMAT|79814	3.5491	0.0117924
AGPAT1|10554	65.151	0.0404313
AGPAT2|10555	6.826	0.00311241
AGPAT3|56894	16.1674	0.0139907
AGPAT4|56895	10.0961	0.0365784
AGPAT5|55326	16.8676	0.0106356
AGPAT6|137964	17.9908	0.00915529
AGPAT9|84803	3.07984	0.0252281
AGPHD1|123688	5.55779	0.0819639
AGPS|8540	15.9123	0.00434517
AGR2|10551	0.833668	0.00858711
AGR3|155465	0	NaN
AGRN|375790	3.14447	0.00020682
AGRP|181	0.345143	0.579933
AGTPBP1|23287	5.26364	0.00459501
AGTR1|185	11.2994	0.700402
AGTR2|186	0.979589	0.222823
AGTRAP|57085	16.6459	0.0181861
AGT|183	1.08249	0.0349199
AGXT2L1|64850	2.49678	0.0380722
AGXT2L2|85007	5.98787	0.00799461
AGXT2|64902	0	NaN
AGXT|189	0.699017	0.0462445
AHCTF1|25909	21.9308	0.00758628
AHCYL1|10768	35.3531	0.00423267
AHCYL2|23382	46.7288	0.0418225
AHCY|191	31.5605	0.00250787
AHDC1|27245	41.1151	0.0630649
AHI1|54806	7.86979	0.00766697
AHNAK2|113146	4.69502	0.000540463
AHNAK|79026	11.3395	0.000426674
AHRR|57491	5.82959	0.00792337
AHR|196	9.01469	0.00943767
AHSA1|10598	6.3239	0.00200198
AHSA2|130872	3.94693	0.0014431
AHSG|197	0.0833333	NaN
AHSP|51327	0	NaN
AICDA|57379	0	NaN
AIDA|64853	14.2536	0.0101799
AIF1L|83543	5.49891	0.00648903
AIF1|199	0.0833333	NaN
AIFM1|9131	7.97682	0.00229848
AIFM2|84883	12.402	0.0116699
AIFM3|150209	4.93869	0.330597
AIG1|51390	4.80849	0.00910742
AIM1L|55057	1.22902	0.0136211
AIM1|202	1.75817	0.00727492
AIM2|9447	0.0833333	NaN
AIMP1|9255	12.3187	0.00850944
AIMP2|7965	4.15619	0.00457946
AIPL1|23746	0.25	NaN
AIP|9049	16.4799	0.00852197
AIRE|326	1.94224e+06	0.999999
AJAP1|55966	0.450744	0.241374
AK1|203	7.22529	0.0059661
AK2|204	5.23026	0.000890184
AK3L1|205	2.65075	0.00245027
AK3|50808	19.8878	0.0129995
AK5|26289	1.84191	0.580084
AK7|122481	1.37529	0.0383352
AKAP10|11216	18.3986	0.021492
AKAP11|11215	6.84861	0.00347672
AKAP12|9590	1.05895	4.33687e-05
AKAP13|11214	30.9848	0.00669015
AKAP14|158798	0.0833333	NaN
AKAP1|8165	14.1642	0.00707917
AKAP2|11217	8.41735	0.0125041
AKAP3|10566	1.08333	NaN
AKAP4|8852	0	NaN
AKAP5|9495	9.40125	0.121331
AKAP6|9472	12.0865	0.138654
AKAP7|9465	5.23793	0.0272
AKAP8L|26993	56.4316	0.0348519
AKAP8|10270	27.225	0.0226393
AKAP9|10142	23.4571	0.00734095
AKD1|221264	1.6103	0.0174508
AKIRIN1|79647	6.43206	0.00386481
AKIRIN2|55122	28.09	0.0270289
AKNAD1|254268	1.59347	0.298208
AKNA|80709	5.07661	0.0243101
AKR1A1|10327	12.0539	0.00798466
AKR1B10|57016	0.224163	0.161172
AKR1B15|441282	0	NaN
AKR1B1|231	10.2914	0.00296993
AKR1C1|1645	1.87635	0.0197941
AKR1C2|1646	0.88039	0.0297962
AKR1C3|8644	1.21979	0.00375164
AKR1C4|1109	0	NaN
AKR1CL1|340811	0.0833333	NaN
AKR1D1|6718	0.25	NaN
AKR1E2|83592	0	NaN
AKR7A2|8574	46.5319	0.0379765
AKR7A3|22977	1.88868	0.236914
AKR7L|246181	2.2613	0.136267
AKT1S1|84335	17.1686	0.00936895
AKT1|207	11.0589	0.00224471
AKT2|208	26.438	0.00765777
AKT3|10000	0.434226	0.00112029
AKTIP|64400	12.153	0.0501699
ALAD|210	12.897	0.0208611
ALAS1|211	33.8937	0.0224193
ALAS2|212	0.166667	NaN
ALB|213	0.416667	NaN
ALCAM|214	8.86477	0.00809729
ALDH16A1|126133	17.0544	0.0236876
ALDH18A1|5832	20.1688	0.00288226
ALDH1A1|216	1.3009e+06	1
ALDH1A2|8854	1.39859	0.0636247
ALDH1A3|220	9.32839	0.0467015
ALDH1B1|219	10.4968	0.00607075
ALDH1L1|10840	1.34553	0.801452
ALDH1L2|160428	3.01589	0.00221334
ALDH2|217	9.95516	0.00788191
ALDH3A1|218	2.87093	0.0735426
ALDH3A2|224	14.5215	0.0102389
ALDH3B1|221	3.72056	0.00111861
ALDH3B2|222	1.56678	0.244805
ALDH4A1|8659	21.654	0.102835
ALDH5A1|7915	50.8779	0.0700996
ALDH6A1|4329	3.5199	0.00989145
ALDH7A1|501	22.1331	0.00678503
ALDH8A1|64577	2.65559	0.25318
ALDH9A1|223	4.49475	0.00202216
ALDOA|226	7.01733	0.000115387
ALDOB|229	0.25	NaN
ALDOC|230	2.9385	0.00132031
ALG10B|144245	7.30443	0.00762755
ALG10|84920	8.74276	0.0306055
ALG11|440138	13.5611	0.325641
ALG12|79087	52.4414	0.0727738
ALG13|79868	11.9275	0.0142062
ALG14|199857	7.1505	0.0319599
ALG1L2|644974	0	NaN
ALG1L|200810	0	NaN
ALG1|56052	6.40252	0.00725373
ALG2|85365	14.0779	0.0184448
ALG3|10195	20.4828	0.0104616
ALG5|29880	12.2461	0.0237521
ALG6|29929	3.12414	0.0104559
ALG8|79053	5.99925	0.00342782
ALG9|79796	14.3596	0.00494698
ALKBH1|8846	33.8394	0.0809542
ALKBH2|121642	11.1507	0.0196609
ALKBH3|221120	43.1572	0.117305
ALKBH4|54784	18.1599	0.0454763
ALKBH5|54890	14.8074	0.00356307
ALKBH6|84964	22.5179	0.10851
ALKBH7|84266	8.67522	0.0160279
ALKBH8|91801	9.52875	0.036124
ALK|238	0.0833333	NaN
ALLC|55821	0	NaN
ALMS1P|200420	1.16667	NaN
ALMS1|7840	14.8808	0.0103234
ALOX12B|242	1.68836	0.41129
ALOX12P2|245	1.577e+06	1
ALOX12|239	10.6754	0.630733
ALOX15B|247	0.670905	0.0258828
ALOX15|246	0.25	NaN
ALOX5AP|241	2.83356	0.206074
ALOX5|240	1.38166	0.108664
ALOXE3|59344	1.81641	0.124699
ALPI|248	0.743679	3.91637e-05
ALPK1|80216	2.7555	0.00655024
ALPK2|115701	0.389548	0.0292756
ALPK3|57538	4.30085	0.102684
ALPL|249	1.09785	0.000243334
ALPPL2|251	0.384732	0.00169634
ALPP|250	0.573544	0.000482109
ALS2CL|259173	3.20506	0.00624722
ALS2CR11|151254	1.08908	0.33451
ALS2CR12|130540	0.840716	0.258096
ALS2CR4|65062	12.551	0.0100277
ALS2CR8|79800	3.49183	0.0231004
ALS2|57679	36.9924	0.0345941
ALX1|8092	12.618	0.113982
ALX3|257	7.41788	0.163026
ALX4|60529	12.9058	0.0490578
AMAC1L2|83650	4.2272	0.707221
AMAC1L3|643664	8.26677	0.604144
AMAC1|146861	0.25	NaN
AMACR|23600	7.23259	0.0125406
AMBN|258	0.0833333	NaN
AMBP|259	0.615492	0.106447
AMBRA1|55626	36.4644	0.0245544
AMD1|262	5.7014	0.00221863
AMDHD1|144193	3.81949	0.0353429
AMDHD2|51005	14.8991	0.0508531
AMELX|265	0	NaN
AMELY|266	0	NaN
AMFR|267	44.5571	0.0245858
AMHR2|269	1.33333	NaN
AMH|268	6.01012	0.037212
AMICA1|120425	0	NaN
AMIGO1|57463	9.38973	0.0859029
AMIGO2|347902	7.74268	0.00557431
AMIGO3|386724	17.7611	0.142171
AMMECR1L|83607	38.5323	0.0435336
AMMECR1|9949	8.51282	0.00954963
AMN1|196394	2.4405	0.0121353
AMN|81693	21.1556	0.923599
AMOTL1|154810	7.33072	0.00514708
AMOTL2|51421	1.87431	0.00247339
AMOT|154796	0.0784999	0.32019
AMPD1|270	0.689889	0.541845
AMPD2|271	11.8474	0.00539924
AMPD3|272	2.73475	0.0119604
AMPH|273	0.0833333	NaN
AMTN|401138	0.690714	0.0185722
AMT|275	1.49137	0.0157692
AMY1A|276	0	NaN
AMY2A|279	0	NaN
AMY2B|280	2.19064	0.0181508
AMZ1|155185	2.23675	0.227773
AMZ2P1|201283	9.20085	0.058037
AMZ2|51321	15.4734	0.0112434
ANAPC10|10393	3.60511	0.0293444
ANAPC11|51529	21.2301	0.0132002
ANAPC13|25847	15.6135	0.0209545
ANAPC16|119504	14.5991	0.0079497
ANAPC1|64682	28.2042	0.00836168
ANAPC2|29882	13.8046	0.0108593
ANAPC4|29945	6.11479	0.00982772
ANAPC5|51433	24.9835	0.00547305
ANAPC7|51434	11.4064	0.00556954
ANGEL1|23357	20.7097	0.029339
ANGEL2|90806	7.57257	0.010079
ANGPT1|284	1.71386	0.0201716
ANGPT2|285	3.75	NaN
ANGPT4|51378	0	NaN
ANGPTL1|9068	1.25327	0.0864127
ANGPTL2|23452	3.18944	0.401721
ANGPTL3|27329	0.333333	NaN
ANGPTL4|51129	0.778924	0.000328494
ANGPTL5|253935	1.6951	0.77222
ANGPTL6|83854	0.929053	0.0737594
ANGPTL7|10218	3.4899	0.807243
ANG|283	2.47356	0.00914812
ANK1|286	1.45866	0.0239615
ANK2|287	3.83799	0.023715
ANK3|288	42.6024	0.214331
ANKAR|150709	3.36157	0.451526
ANKDD1A|348094	11.4902	0.228327
ANKFN1|162282	0.666667	NaN
ANKFY1|51479	21.924	0.00820915
ANKHD1-EIF4EBP3|404734	32.2847	0.0154236
ANKHD1|54882	19.3138	0.00454757
ANKH|56172	7.98807	0.0011471
ANKIB1|54467	19.7709	0.00820589
ANKK1|255239	0.417206	0.500323
ANKLE1|126549	25.2939	0.0718656
ANKLE2|23141	21.3798	0.00550889
ANKMY1|51281	16.914	0.110311
ANKMY2|57037	21.9111	0.0293913
ANKRA2|57763	3.33523	0.0180525
ANKRD10|55608	11.6978	0.00489781
ANKRD11|29123	19.3533	0.00398378
ANKRD12|23253	10.202	0.00439528
ANKRD13A|88455	25.4299	0.0218562
ANKRD13B|124930	4.27337	0.005163
ANKRD13C|81573	9.36318	0.00865202
ANKRD13D|338692	18.5621	0.034466
ANKRD16|54522	9.03461	0.0345997
ANKRD17|26057	12.9645	0.00288819
ANKRD19|138649	1.59146	0.00606637
ANKRD1|27063	0.135456	0.0201608
ANKRD20A3|441425	1.34553	0.801452
ANKRD20A4|728747	0.663077	0.443112
ANKRD20B|729171	0.0784999	0.32019
ANKRD22|118932	0.320191	0.0506617
ANKRD23|200539	7.54288	0.137244
ANKRD24|170961	6.37211	0.504837
ANKRD26P1|124149	1.6951	0.77222
ANKRD26|22852	23.5911	0.046332
ANKRD27|84079	18.5634	0.0129793
ANKRD28|23243	37.3994	0.0186719
ANKRD29|147463	4.19153	0.00945227
ANKRD2|26287	0.53907	0.0228203
ANKRD30A|91074	0	NaN
ANKRD30B|374860	0.0833333	NaN
ANKRD31|256006	3.16426	0.593567
ANKRD32|84250	30.6525	0.0266779
ANKRD33|341405	0	NaN
ANKRD34A|284615	4.71896	0.0672035
ANKRD34B|340120	0	NaN
ANKRD34C|390616	0.0833333	NaN
ANKRD35|148741	0	NaN
ANKRD36BP1|84832	6.14384	0.0405818
ANKRD36B|57730	3.54604	0.0169292
ANKRD36|375248	9.20731	0.0114846
ANKRD37|353322	0.818848	0.00155432
ANKRD39|51239	9.35524	0.0291421
ANKRD40|91369	20.1507	0.0147356
ANKRD42|338699	12.0425	0.0311477
ANKRD43|134548	10.6813	0.800219
ANKRD44|91526	21.6546	0.122064
ANKRD45|339416	8.08604	0.843522
ANKRD46|157567	13.7397	0.0407617
ANKRD49|54851	11.8739	0.0335699
ANKRD50|57182	2.89825	0.00196205
ANKRD52|283373	25.0217	0.00530445
ANKRD53|79998	13.8321	0.8691
ANKRD54|129138	17.3354	0.0306819
ANKRD55|79722	0.819626	0.472055
ANKRD56|345079	1.1968e+06	1
ANKRD57|65124	2.70827	0.00123208
ANKRD58|347454	4.58666	0.246772
ANKRD5|63926	12.5109	0.0773417
ANKRD6|22881	40.4415	0.918606
ANKRD7|56311	0	NaN
ANKRD9|122416	2.65579	0.00260396
ANKS1A|23294	23.5916	0.0198539
ANKS1B|56899	0.762166	0.070819
